p3 	 p2 	 1.109600e-06
p2 	 p3 	 2.712250e-06
p0 	 p1 	 5.274296e-06
p1 	 p0 	 1.721621e-06
p4 	 p5 	 2.673149e-06
p5 	 p4 	 9.455681e-06
p9 	 p8 	 2.250671e-06
p8 	 p9 	 9.785652e-06
p26 	 p27 	 2.190351e-06
p27 	 p26 	 1.047969e-05
p17 	 p16 	 7.775307e-06
p16 	 p17 	 5.004883e-06
p24 	 p25 	 1.090908e-05
p25 	 p24 	 6.157398e-06
p14 	 p15 	 1.438475e-05
p21 	 p20 	 3.561258e-06
p20 	 p21 	 1.298451e-05
p15 	 p14 	 5.633831e-06
p22 	 p23 	 5.697727e-06
p23 	 p22 	 1.125193e-05
p7 	 p6 	 7.801056e-06
p13 	 p12 	 8.984566e-06
p10 	 p11 	 1.017118e-05
p6 	 p7 	 1.337600e-05
p12 	 p13 	 1.122785e-05
p31 	 p30 	 1.149487e-05
p30 	 p31 	 6.380081e-06
p29 	 p28 	 9.985924e-06
p28 	 p29 	 8.418560e-06
p11 	 p10 	 9.382725e-06
p18 	 p19 	 1.130295e-05
p19 	 p18 	 6.713152e-06
